time,places,tweet
2023-02-09 14:14:56,KiM TaeTae,ในตตเซปพี่ก้าน่ารักม้ากกกกก ดาวตตทวงบัลลังก์ค่ะ
2023-02-09 14:14:54,,@WeTVThailand ดุจดวงดาวเกียรติยศ
2023-02-09 11:41:16,,@moonzhalo แต่แทแร มุนจองฮยอนไป 4 ดาวเหมือนเดิม โชว์ของเยอะแน่ๆๆๆ
2023-02-09 11:41:15,On cloud1005🇩🇰,"จริงนะ นี่เพิ่ง กพ เอง เดี๋ยวรอเลย รอพี่ออกงานแล้วจะรู้ว่า global popularity ของเมนอิกุ้งมันไม่เกินจริง 
แล้วอิกุ้งไม่เคยอวย “ปริมาณ” งานของเมน แต่อวยยศคุณภาพงาน อวยยันดาวอังคาร เพราะมันเริ่ดมันกู้ดจริง อวยแบบไม่เหนื่อย เพราะมีดาต้าเป็นแบคแน่นๆจุกๆทุกงาน เกียมนำ้ตาไว้รอเลยจ้ะ"
2023-02-09 11:41:15,,@kentolovess ดาวเท่าไหร่คะ
2023-02-09 11:41:07,,@xsremod ดาวเท่าไหร่คะ
2023-02-09 11:41:03,@jjaneenns แอคขายของ,นางเจื๋อดาว https://t.co/NT4GJwSrwe
2023-02-09 11:41:01,,@blairrankup ดาวเท่าไหร่คะ
2023-02-09 11:40:53,,@Reallybxn ดาวเท่าไหร่คะะ
2023-02-09 11:40:31,ประเทศไทย,อยากได้อะไร เอาจริงทุกเรื่องว่าซ่านนนนน อยากแหมไปถึงดาวอังคาร #MoonlightChickenEP2
2023-02-09 11:40:30,,@jaowaxrov คอน 1 ดาวดาวเท่าไหร่คะ
2023-02-09 11:40:24,"
The Moon Represents My Heart
0:09━❍──────── 3:29

♡ earthpirapat ⁽ ᵐʸ ᵇᵃᵇᵉ ᵇᵒᵒ ⁾

♡ mixsahaphap ⁽ⁿᵒⁿᵍⁿᵃᵐᵏʰⁱⁿᵍ⁾

♡ exo

♡ taeil

‎*personal acc ka ◡̎
",พี่ออฟกับคนเขียนบทรอบนี้เล่าเรื่องจิกกัดสังคมได้ดีเกินที่คาดไว้ในหัวว่ะ ดีกว่านิทานพันดาวมาก ใช้ตัวละครเก่งมาก ใช้ตัวละครแบบสุดฤทธิ์ แค่เพื่อนหลี่หมิงยืนเล่นโทรศัพท์ก็เห็นสภาพความต่างของคุณภาพชีวิตแล้ว เห้ย เกิดคาดว่ะคุณนพณัช รอบนี้คุณเอาเรื่องนะ
2023-02-09 11:40:22,,@miraralyjane คอน 1 ดาว ดาวเท่าไหร่คะ
2023-02-09 11:41:16,,@moonzhalo แต่แทแร มุนจองฮยอนไป 4 ดาวเหมือนเดิม โชว์ของเยอะแน่ๆๆๆ
2023-02-09 11:41:15,On cloud1005🇩🇰,"จริงนะ นี่เพิ่ง กพ เอง เดี๋ยวรอเลย รอพี่ออกงานแล้วจะรู้ว่า global popularity ของเมนอิกุ้งมันไม่เกินจริง 
แล้วอิกุ้งไม่เคยอวย “ปริมาณ” งานของเมน แต่อวยยศคุณภาพงาน อวยยันดาวอังคาร เพราะมันเริ่ดมันกู้ดจริง อวยแบบไม่เหนื่อย เพราะมีดาต้าเป็นแบคแน่นๆจุกๆทุกงาน เกียมนำ้ตาไว้รอเลยจ้ะ"
2023-02-09 11:41:15,,@kentolovess ดาวเท่าไหร่คะ
2023-02-09 11:41:07,,@xsremod ดาวเท่าไหร่คะ
2023-02-09 11:41:03,@jjaneenns แอคขายของ,นางเจื๋อดาว https://t.co/NT4GJwSrwe
2023-02-09 11:41:01,,@blairrankup ดาวเท่าไหร่คะ
2023-02-09 11:40:53,,@Reallybxn ดาวเท่าไหร่คะะ
2023-02-09 11:40:31,ประเทศไทย,อยากได้อะไร เอาจริงทุกเรื่องว่าซ่านนนนน อยากแหมไปถึงดาวอังคาร #MoonlightChickenEP2
2023-02-09 11:40:30,,@jaowaxrov คอน 1 ดาวดาวเท่าไหร่คะ
2023-02-09 11:40:24,"
The Moon Represents My Heart
0:09━❍──────── 3:29

♡ earthpirapat ⁽ ᵐʸ ᵇᵃᵇᵉ ᵇᵒᵒ ⁾

♡ mixsahaphap ⁽ⁿᵒⁿᵍⁿᵃᵐᵏʰⁱⁿᵍ⁾

♡ exo

♡ taeil

‎*personal acc ka ◡̎
",พี่ออฟกับคนเขียนบทรอบนี้เล่าเรื่องจิกกัดสังคมได้ดีเกินที่คาดไว้ในหัวว่ะ ดีกว่านิทานพันดาวมาก ใช้ตัวละครเก่งมาก ใช้ตัวละครแบบสุดฤทธิ์ แค่เพื่อนหลี่หมิงยืนเล่นโทรศัพท์ก็เห็นสภาพความต่างของคุณภาพชีวิตแล้ว เห้ย เกิดคาดว่ะคุณนพณัช รอบนี้คุณเอาเรื่องนะ
2023-02-09 11:40:22,,@miraralyjane คอน 1 ดาว ดาวเท่าไหร่คะ
2023-02-09 09:06:33,,@samza_downy มีอะใรเหรอครับ น้องดาวฯ
2023-02-09 09:06:18,,"💐รับทำจิตอาสาออนไลน์ 
⭕️คิวว่าง ราคาถูก รับงานจริง‼️
✅พร้อมดาวน์โหลด+รวมไฟล์ 
10 ชั่วโมง 40 บาท 
18 ชั่วโมง 75 บาท
36 ชั่วโมง 140 บาท 
💘แบ่งทำรายวัน/เหมาทำ
#รับทําจิตอาสากยศ #รับทําจิตอาสาออนไลน์ #ศิลปากร #จุฬา #setelearning #ทีมนเรศวร #รับทําจิตอาสา #กยศออนไลน์ #กยศ #ทีมมช https://t.co/vNGzusRDWF"
2023-02-09 09:06:33,,@samza_downy มีอะใรเหรอครับ น้องดาวฯ
2023-02-09 09:06:18,,"💐รับทำจิตอาสาออนไลน์ 
⭕️คิวว่าง ราคาถูก รับงานจริง‼️
✅พร้อมดาวน์โหลด+รวมไฟล์ 
10 ชั่วโมง 40 บาท 
18 ชั่วโมง 75 บาท
36 ชั่วโมง 140 บาท 
💘แบ่งทำรายวัน/เหมาทำ
#รับทําจิตอาสากยศ #รับทําจิตอาสาออนไลน์ #ศิลปากร #จุฬา #setelearning #ทีมนเรศวร #รับทําจิตอาสา #กยศออนไลน์ #กยศ #ทีมมช https://t.co/vNGzusRDWF"
2023-02-09 06:32:00,"bangkok,thailand",@ChaKaiPed ชอบค่ะ ดาวนี่  นี่เราช่วยกันป่าวปุกาศใหัเค้านะคะเนี่ยยย
2023-02-09 06:31:51,"นครราชสีมา, ประเทศไทย",""" ชอบอะไร หวังอะไร 
ก็ขอให้ตั้งใจและรักในสิ่งนั้น
  ถึงแม้จะมีวันที่แสนเศร้าก็ขอให้รู้ไว้ว่า 
ยังมีฉันและดวงดาวเคียงข้างเสมอ
 ในอนาคตขอให้มีความสุขรายล้อมรอบตัว
ขอให้ได้ใช้ชีวิตในแบบที่อยากใช้นะ ""

As you wish - อูจูโซนยอ( WJSN ) https://t.co/zdHaxq9mef https://t.co/f8G9Gqz0fQ"
2023-02-09 06:31:26,,@bbfong12 คอม5 1ดาวงับ
2023-02-09 06:31:18,| ꜱᴡɪᴛᴄʜＰ| ᴅᴏᴜʙʟᴇ ꜰᴀᴄᴇ P |,"คือเราไม่อยากชิปนะแต่ 4 ดาวพี่สึมุมาตู้พี่เคย์โตะส่วนนัตจังมาตู้พ่อทัต

ทำไมมาตู้5ดาวเป็นผมสีเขียวเหมือนกันทั้งคู่เลยกันคะ เอ๊ะ"
2023-02-09 06:31:16,ดื่มนมปีนี้ สุขภาพดีปีหน้า 🍼,ดาวรุ่นโสภา 🎉 https://t.co/Km9dIq33FT
